id_subcategoria_producto;titulo_lista_subcategoria_producto;nombre_subcategoria_producto;url_subcategoria_producto;img_subcategoria_producto;vistas_subcategoria_producto;fecha_creacion_subcategoria_producto;fecha_modificacion_subcategoria_producto
80;;Empaquetadura Tapa de Válvulas;empaquetadura-tapa-de-valvulas;empaquetadura-tapa-de-valvulas.jpg;;;
81;;Empaquetadura de Carter;empaquetadura-de-carter;empaquetadura-de-carter.jpg;;;
82;;Empaquetadura de Culata;empaquetadura-de-culata;empaquetadura-de-culata.jpg;;;
83;;Guía de Válvula;guia-de-valvula;guia-de-valvula.jpg;;;
84;;Juego Bujes Biela;juego-bujes-biela;juego-bujes-biela.jpg;;;
85;;Juego Empaquetadura de Motor;juego-empaquetadura-de-motor;juego-empaquetadura-de-motor.jpg;;;
86;;Metales Axiales;metales-axiales;metales-axiales.jpg;;;
87;;Metales de Bancada;metales-de-bancada;metales-de-bancada.jpg;;;
88;;Metales de Biela;metales-de-biela;metales-de-biela.jpg;;;
89;;Pistones;pistones;pistones.jpg;;;
90;;Reten Eje de Levas;reten-eje-de-levas;reten-eje-de-levas.jpg;;;
91;;Reten de Cigueñal;reten-de-ciguenal;reten-de-ciguenal.jpg;;;
92;;Retenes de Válvula;retenes-de-valvula;retenes-de-valvula.jpg;;;
93;;Soporte de Motor;soporte-de-motor;soporte-de-motor.jpg;;;
94;;Tapa de Aceite;tapa-de-aceite;tapa-de-aceite.jpg;;;
95;;Taque;taque;taque.jpg;;;
96;;Turbos;turbos;turbos.jpg;;;
97;;Válvulas de Motor;valvulas-de-motor;valvulas-de-motor.jpg;;;
98;;Alternador;alternador;alternador.jpg;;;
99;;Bendix;bendix;bendix.jpg;;;
100;;Carbones de Alternador;carbones-de-alternador;carbones-de-alternador.jpg;;;
101;;Carbones de Motor de Partida;carbones-de-motor-de-partida;carbones-de-motor-de-partida.jpg;;;
102;;Motor de Partida;motor-de-partida;motor-de-partida.jpg;;;
103;;Placa de Diodos o Rectificadora;placa-de-diodos-o-rectificadora;placa-de-diodos-o-rectificadora.jpg;;;
104;;Regulador de Voltaje;regulador-de-voltaje;regulador-de-voltaje.jpg;;;
105;;Rodamiento de Alternador;rodamiento-de-alternador;rodamiento-de-alternador.jpg;;;
106;;Solenoide;solenoide;solenoide.jpg;;;
107;;Abrazaderas;abrazaderas;abrazaderas.jpg;;;
108;;Bomba de Agua;bomba-de-agua;bomba-de-agua.jpg;;;
109;;Correa de Aire Acondicionado;correa-de-aire-acondicionado;correa-de-aire-acondicionado.jpg;;;
110;;Correa de Alternador;correa-de-alternador;correa-de-alternador.jpg;;;
111;;Cuerpo Centrifugo;cuerpo-centrifugo;cuerpo-centrifugo.jpg;;;
112;;Deposito Auxiliar de Radiador;deposito-auxiliar-de-radiador;deposito-auxiliar-de-radiador.jpg;;;
113;;Manguera de Calefacción;manguera-de-calefaccion;manguera-de-calefaccion.jpg;;;
114;;Manguera de Radiador;manguera-de-radiador;manguera-de-radiador.jpg;;;
115;;Radiador de Motor;radiador-de-motor;radiador-de-motor.jpg;;;
116;;Sellos de Agua;sellos-de-agua;sellos-de-agua.jpg;;;
117;;Switch de Electroventilador;switch-de-electroventilador;switch-de-electroventilador.jpg;;;
118;;Tapa de Radiador;tapa-de-radiador;tapa-de-radiador.jpg;;;
119;;Tapa de Termostato;tapa-de-termostato;tapa-de-termostato.jpg;;;
120;;Termostato;termostato;termostato.jpg;;;
121;;Tubo de Agua;tubo-de-agua;tubo-de-agua.jpg;;;
122;;Válvula de Calefacción;valvula-de-calefaccion;valvula-de-calefaccion.jpg;;;
123;;Maza Delantera;maza-delantera;maza-delantera.jpg;;;
124;;Maza Trasera;maza-trasera;maza-trasera.jpg;;;
125;;Reten de Rueda Delantero;reten-de-rueda-delantero;reten-de-rueda-delantero.jpg;;;
126;;Reten de Rueda Trasero;reten-de-rueda-trasero;reten-de-rueda-trasero.jpg;;;
127;;Rodamiento de Correas Auxiliares;rodamiento-de-correas-auxiliares;rodamiento-de-correas-auxiliares.jpg;;;
128;;Rodamiento de Rueda Delantero;rodamiento-de-rueda-delantero;rodamiento-de-rueda-delantero.jpg;;;
129;;Rodamiento de Rueda Trasero;rodamiento-de-rueda-trasero;rodamiento-de-rueda-trasero.jpg;;;
130;;Varias Aplicaciones;varias-aplicaciones;varias-aplicaciones.jpg;;;
131;;Bulbo de Presión de Aceite;bulbo-de-presion-de-aceite;bulbo-de-presion-de-aceite.jpg;;;
132;;Relay;relay;relay.jpg;;;
133;;Relay Flasher;relay-flasher;relay-flasher.jpg;;;
134;;Sensor de Oxigeno;sensor-de-oxigeno;sensor-de-oxigeno.jpg;;;
135;;Sensor de Posición de Cigueñal;sensor-de-posicion-de-ciguenal;sensor-de-posicion-de-ciguenal.jpg;;;
136;;Sensor de Posición de Leva;sensor-de-posicion-de-leva;sensor-de-posicion-de-leva.jpg;;;
137;;Sensor de Ángulo;sensor-de-angulo;sensor-de-angulo.jpg;;;
138;;Sensor y Bulbo de Temperatura del Agua;sensor-y-bulbo-de-temperatura-del-agua;sensor-y-bulbo-de-temperatura-del-agua.jpg;;;
139;;Switch de Frenos;switch-de-frenos;switch-de-frenos.jpg;;;
140;;Switch de Marcha Atrás;switch-de-marcha-atras;switch-de-marcha-atras.jpg;;;
141;;Telecomando de Luces;telecomando-de-luces;telecomando-de-luces.jpg;;;
142;;Válvula IAC;valvula-iac;valvula-iac.jpg;;;
143;;Bomba de Combustible;bomba-de-combustible;bomba-de-combustible.jpg;;;
144;;Kit de Carburador;kit-de-carburador;kit-de-carburador.jpg;;;
145;;Manguera de Combustible;manguera-de-combustible;manguera-de-combustible.jpg;;;
146;;Piola de Acelerador;piola-de-acelerador;piola-de-acelerador.jpg;;;
147;;Catalizador;catalizador;catalizador.jpg;;;
148;;Amortiguador Delantero;amortiguador-delantero;amortiguador-delantero.jpg;;;
149;;Amortiguador Trasero;amortiguador-trasero;amortiguador-trasero.jpg;;;
150;;Bandejas de Suspensión;bandejas-de-suspension;bandejas-de-suspension.jpg;;;
151;;Bieleta de Barra Estabilizadora;bieleta-de-barra-estabilizadora;bieleta-de-barra-estabilizadora.jpg;;;
152;;Brazo Auxiliar;brazo-auxiliar;brazo-auxiliar.jpg;;;
153;;Brazo Pitman;brazo-pitman;brazo-pitman.jpg;;;
154;;Buje de Paquetes de Resortes;buje-de-paquetes-de-resortes;buje-de-paquetes-de-resortes.jpg;;;
155;;Buje para Bandeja de Suspensión;buje-para-bandeja-de-suspension;buje-para-bandeja-de-suspension.jpg;;;
156;;Buje para Barra Tensora;buje-para-barra-tensora;buje-para-barra-tensora.jpg;;;
157;;Bujes para Barra Estabilizadora;bujes-para-barra-estabilizadora;bujes-para-barra-estabilizadora.jpg;;;
158;;Cazoletas;cazoletas;cazoletas.jpg;;;
159;;Correa de Dirección Asistida;correa-de-direccion-asistida;correa-de-direccion-asistida.jpg;;;
160;;Fuelles de Cremalleras;fuelles-de-cremalleras;fuelles-de-cremalleras.jpg;;;
161;;Rotula;rotula;rotula.jpg;;;
162;;Terminal Axial e Interior;terminal-axial-e-interior;terminal-axial-e-interior.jpg;;;
163;;Terminal de Dirección;terminal-de-direccion;terminal-de-direccion.jpg;;;
