id_producto;valoracion_producto;estado_producto_servicio_id_producto;tienda_id_producto;titulo_lista_producto;nombre_producto;url_producto;img_producto;costo_producto;precio_producto;existenci_producto;oferta_producto;descripcion_producto;resumen_producto;detalles_producto;especificaciones_producto;galeria_producto;video_producto;top_banner_producto;default_banner_producto;horizontal_slider_producto;vertical_slider_producto;reviews_producto;tags_producto;codigo_producto;ventas_producto;vistas_producto;fecha_creacion_producto;fecha_modificacion_producto
17;;1;26;;Bobina de Encendido de 4 Pines TORCH BBN-086;producto-17;https://m.autoplanet.cl/medias/sys_master/images/h79/hc2/8960696057886.jpg;3000;;;;;;;;;;;;;;;;;;;;
18;;1;26;;Bobina de Encendido de 2 Pines TORCH BBN-048;producto-18;https://m.autoplanet.cl/medias/sys_master/images/hf5/h54/8960690946078.jpg;7790;;;;;;;;;;;;;;;;;;;;
19;;1;28;;Bobina de Encendido de 3 Pines TORCH BBN-209.;producto-19;https://m.autoplanet.cl/medias/sys_master/images/hf7/h0d/8960713359390.jpg;22990;;;;;;;;;;;;;;;;;;;;
20;;1;28;;Bobina AUTOTEC 24368-K;producto-20;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;9990;;;;;;;;;;;;;;;;;;;;
21;;1;23;;Bobina de Encendido de 4 Pines ECHLIN 0017629;producto-21;https://www.autoplanet.cl/images/products/sin_image250.png;35990;;;;;;;;;;;;;;;;;;;;
22;;1;29;;Bobina de Encendido GREAT WALL Original 3705100E07F2;producto-22;https://m.autoplanet.cl/medias/sys_master/images/h9d/h4a/9001723101214.jpg;120490;;;;;;;;;;;;;;;;;;;;
23;;1;24;;Bobina ARROW 011431;producto-23;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;52990;;;;;;;;;;;;;;;;;;;;
24;;1;27;;Bobina de Encendido de 4 Pines CADIC 9112082.;producto-24;https://www.autoplanet.cl/images/products/sin_image250.png;16490;;;;;;;;;;;;;;;;;;;;
25;;1;28;;Bobina de Encendido GREAT WALL Original SMW250510.;producto-25;https://m.autoplanet.cl/medias/sys_master/images/h1e/h12/8988903702558.jpg;166490;;;;;;;;;;;;;;;;;;;;
26;;1;25;;Bobina AUTOTEC 20571-0;producto-26;https://m.autoplanet.cl/medias/sys_master/images/hcf/h8f/9060824252446.jpg;19490;;;;;;;;;;;;;;;;;;;;
27;;1;25;;Bobina AUTOTEC 23639-K;producto-27;https://m.autoplanet.cl/medias/sys_master/images/hbc/h50/9060826611742.jpg;19990;;;;;;;;;;;;;;;;;;;;
28;;1;21;;Bobina AUTOTEC 24755-3;producto-28;https://m.autoplanet.cl/medias/sys_master/images/hfa/hee/9060827791390.jpg;19990;;;;;;;;;;;;;;;;;;;;
29;;1;20;;Bobina CYON 011442;producto-29;https://m.autoplanet.cl/medias/sys_master/images/h0f/h43/9060827398174.jpg;39490;;;;;;;;;;;;;;;;;;;;
30;;1;29;;Bobina CYON 005138;producto-30;https://m.autoplanet.cl/medias/sys_master/images/he5/h69/9060828971038.jpg;39490;;;;;;;;;;;;;;;;;;;;
31;;1;21;;Bobina CYON 011425;producto-31;https://m.autoplanet.cl/medias/sys_master/images/h72/hfb/9060858527774.jpg;23490;;;;;;;;;;;;;;;;;;;;
32;;1;25;;Bobina de Encendido de 4 Pines CADIC 9112094.;producto-32;https://m.autoplanet.cl/medias/sys_master/images/hc9/h88/8951542677534.jpg;18490;;;;;;;;;;;;;;;;;;;;
33;;1;27;;Bobina REGITAR 012991;producto-33;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;26490;;;;;;;;;;;;;;;;;;;;
34;;1;27;;Bobina de Encendido CHANGAN Original DA18020-0300.;producto-34;https://m.autoplanet.cl/medias/sys_master/images/h80/hab/9001831432222.jpg;210990;;;;;;;;;;;;;;;;;;;;
35;;1;28;;Bobina de Encendido de 4 Pines ECHLIN 0014794.;producto-35;https://m.autoplanet.cl/medias/sys_master/images/h05/hcc/8963127640094.jpg;22990;;;;;;;;;;;;;;;;;;;;
36;;1;23;;Bobina de Encendido CHANGAN Original YC026283AA;producto-36;https://m.autoplanet.cl/medias/sys_master/images/h73/h23/9001821863966.jpg;78490;;;;;;;;;;;;;;;;;;;;
37;;1;28;;Bobina de Encendido JAC Original 1026102GAA.;producto-37;https://m.autoplanet.cl/medias/sys_master/images/h33/h67/9005541064734.jpg;57490;;;;;;;;;;;;;;;;;;;;
38;;1;21;;Bobina de Encendido de 2 Pines CADIC 9112112;producto-38;https://www.autoplanet.cl/images/products/sin_image250.png;12990;;;;;;;;;;;;;;;;;;;;
39;;1;24;;Bobina de Encendido de 2 Pines 7811135.;producto-39;https://m.autoplanet.cl/medias/sys_master/images/h37/hbf/8938563239966.jpg;7290;;;;;;;;;;;;;;;;;;;;
40;;1;29;;Bobina de Encendido de 2 Pines TORCH BBN-089.;producto-40;https://m.autoplanet.cl/medias/sys_master/images/h90/h1b/8960699203614.jpg;7290;;;;;;;;;;;;;;;;;;;;
41;;1;27;;Bobina de Encendido de 4 Pines TORCH BBN-074;producto-41;https://m.autoplanet.cl/medias/sys_master/images/hfb/h7f/8960693305374.jpg;8290;;;;;;;;;;;;;;;;;;;;
42;;1;28;;Bobina de Encendido de 2 Terminales TORCH BBN-011.;producto-42;https://m.autoplanet.cl/medias/sys_master/images/h08/hab/8935302856734.jpg;10990;;;;;;;;;;;;;;;;;;;;
43;;1;23;;Bobina de Encendido de 2 Pines TORCH BBN-091.;producto-43;https://m.autoplanet.cl/medias/sys_master/images/h2c/hb8/8941782269982.jpg;10990;;;;;;;;;;;;;;;;;;;;
44;;1;29;;Bobina de Encendido de 4 Pines CYON 005294;producto-44;https://m.autoplanet.cl/medias/sys_master/images/hdf/h4d/8963943825438.jpg;38990;;;;;;;;;;;;;;;;;;;;
45;;1;22;;Bobina AUTOTEC 23631-4;producto-45;https://m.autoplanet.cl/medias/sys_master/images/h3a/h7d/9060826218526.jpg;18990;;;;;;;;;;;;;;;;;;;;
46;;1;28;;Bobina AUTOTEC 20953-8;producto-46;https://m.autoplanet.cl/medias/sys_master/images/hfc/h51/9060825825310.jpg;10490;;;;;;;;;;;;;;;;;;;;
47;;1;22;;Bobina de Encendido SUZUKI Original 33400-65G02;producto-47;https://m.autoplanet.cl/medias/sys_master/images/h19/h38/9001724280862.jpg;148490;;;;;;;;;;;;;;;;;;;;
48;;1;22;;Bobina de Encendido de 3 Pines TORCH BBN-017;producto-48;https://m.autoplanet.cl/medias/sys_master/images/hb8/h8a/9002530340894.jpg;20990;;;;;;;;;;;;;;;;;;;;
49;;1;26;;Bobina de Encendido de 3 Pines ECHLIN 0T00190.;producto-49;https://m.autoplanet.cl/medias/sys_master/images/h89/hf5/8938542727198.jpg;29490;;;;;;;;;;;;;;;;;;;;
50;;1;27;;Bobina de Encendido de 4 Pines TORCH BBN-018.;producto-50;https://m.autoplanet.cl/medias/sys_master/images/h93/h86/8960456130590.jpg;32990;;;;;;;;;;;;;;;;;;;;
51;;1;27;;Bobina de Encendido de 4 Pines CADIC 9112122;producto-51;https://m.autoplanet.cl/medias/sys_master/images/h84/hd6/8951552507934.jpg;16990;;;;;;;;;;;;;;;;;;;;
52;;1;20;;Bobina de Encendido JAC Original 1026090GG010;producto-52;https://m.autoplanet.cl/medias/sys_master/images/ha7/hc0/9001780641822.jpg;73990;;;;;;;;;;;;;;;;;;;;
53;;1;29;;Bobina TALOSA 0024383;producto-53;https://m.autoplanet.cl/medias/sys_master/images/h0d/he0/9069306675230.jpg;8990;;;;;;;;;;;;;;;;;;;;
54;;1;21;;Bobina de Encendido de 3 Pines CADIC 9112114;producto-54;https://www.autoplanet.cl/images/products/sin_image250.png;15490;;;;;;;;;;;;;;;;;;;;
55;;1;20;;Bobina de Encendido de 3 Pines ECHLIN Z000095.;producto-55;https://m.autoplanet.cl/medias/sys_master/images/ha2/hde/8935180107806.jpg;11990;;;;;;;;;;;;;;;;;;;;
56;;1;23;;Bobina de Encendido CADIC 9112127;producto-56;https://m.autoplanet.cl/medias/sys_master/images/h43/h45/9029750784030.jpg;41990;;;;;;;;;;;;;;;;;;;;
57;;1;25;;Bobina de Encendido de 2 Conectores TORCH BBN-069;producto-57;https://m.autoplanet.cl/medias/sys_master/images/h6d/h4e/9002531586078.jpg;6490;;;;;;;;;;;;;;;;;;;;
58;;1;26;;Bobina de Encendido de 2 Pines TORCH BBN-013.;producto-58;https://m.autoplanet.cl/medias/sys_master/images/h21/h4b/8960702742558.jpg;10490;;;;;;;;;;;;;;;;;;;;
59;;1;26;;Bobina BHORKE 9951562;producto-59;https://m.autoplanet.cl/medias/sys_master/images/h21/h21/9069309100062.jpg;15490;;;;;;;;;;;;;;;;;;;;
60;;1;23;;Bobina de Encendido de 2 Pines TORCH BBN-014;producto-60;https://m.autoplanet.cl/medias/sys_master/images/hc2/hef/8941780303902.jpg;5490;;;;;;;;;;;;;;;;;;;;
61;;1;23;;Bobina de Encendido de 3 Pines TORCH BBN-088;producto-61;https://m.autoplanet.cl/medias/sys_master/images/hc7/h1a/8960703528990.jpg;18990;;;;;;;;;;;;;;;;;;;;
62;;1;26;;Bobina de Encendido de 2 Pines ECHLIN 0002866.;producto-62;https://m.autoplanet.cl/medias/sys_master/images/h0d/ha1/8963119775774.jpg;15990;;;;;;;;;;;;;;;;;;;;
63;;1;27;;Bobina de Encendido CHANGAN Original EA0120200.;producto-63;https://m.autoplanet.cl/medias/sys_master/images/h46/h98/9030074859550.jpg;69490;;;;;;;;;;;;;;;;;;;;
64;;1;27;;Bobina de Encendido de 3 Pines TORCH BBN-042;producto-64;https://m.autoplanet.cl/medias/sys_master/images/hbf/h16/8977361240094.jpg;25990;;;;;;;;;;;;;;;;;;;;
65;;1;21;;Bobina de Encendido de 3 Pines TORCH BBN-016.;producto-65;https://m.autoplanet.cl/medias/sys_master/images/h9f/heb/8960697630750.jpg;10990;;;;;;;;;;;;;;;;;;;;
66;;1;20;;Bobina de Encendido de 2 Pines TORCH BBN-026;producto-66;https://m.autoplanet.cl/medias/sys_master/images/hd7/hbf/8960707067934.jpg;9990;;;;;;;;;;;;;;;;;;;;
67;;1;26;;Bobina de Encendido RENAULT Original 8200568671;producto-67;https://m.autoplanet.cl/medias/sys_master/images/h9a/he0/9001735421982.jpg;22490;;;;;;;;;;;;;;;;;;;;
68;;1;28;;Bobina de Encendido de 3 Pines CADIC 93248876.;producto-68;https://m.autoplanet.cl/medias/sys_master/images/hbc/h11/8937046540318.jpg;21990;;;;;;;;;;;;;;;;;;;;
69;;1;28;;Bobina de Encendido de 3 Pines CADIC 9112100;producto-69;https://www.autoplanet.cl/images/products/sin_image250.png;15490;;;;;;;;;;;;;;;;;;;;
70;;1;23;;Bobina 9942945;producto-70;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;18490;;;;;;;;;;;;;;;;;;;;
71;;1;24;;Bobina de Encendido de 2 Pines SHIN HWA 12478.;producto-71;https://m.autoplanet.cl/medias/sys_master/images/h97/h94/8977492377630.jpg;32490;;;;;;;;;;;;;;;;;;;;
72;;1;25;;Bobina BBN-017;producto-72;https://www.autoplanet.cl/images/products/sin_image250.png;28490;;;;;;;;;;;;;;;;;;;;
73;;1;24;;Bobina de Encendido de 2 Entradas ECHLIN 1A00248.;producto-73;https://m.autoplanet.cl/medias/sys_master/images/he5/h2b/8938526998558.jpg;16390;;;;;;;;;;;;;;;;;;;;
74;;1;22;;Bobina de Encendido de 4 Pines CADIC 9112131;producto-74;https://m.autoplanet.cl/medias/sys_master/images/hbf/h26/8951553294366.jpg;24490;;;;;;;;;;;;;;;;;;;;
75;;1;21;;Bobina AUTOTEC 20574-5;producto-75;https://m.autoplanet.cl/medias/sys_master/images/hd4/h52/9060824645662.jpg;22990;;;;;;;;;;;;;;;;;;;;
76;;1;24;;Bobina de Encendido de 3 Pines CADIC 9112037.;producto-76;https://m.autoplanet.cl/medias/sys_master/images/h99/ha7/8964016799774.jpg;15990;;;;;;;;;;;;;;;;;;;;
77;;1;25;;Bobina TORCH 12342 BBN-048;producto-77;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;8090;;;;;;;;;;;;;;;;;;;;
78;;1;23;;Bobina de Encendido de 2 Pines CADIC 9112087;producto-78;https://m.autoplanet.cl/medias/sys_master/images/h95/h30/8964018667550.jpg;29490;;;;;;;;;;;;;;;;;;;;
79;;1;21;;Bobina de Encendido GREAT WALL Original 3705100EG01;producto-79;https://m.autoplanet.cl/medias/sys_master/images/h12/h22/9001722707998.jpg;90990;;;;;;;;;;;;;;;;;;;;
80;;1;29;;Bobina de Encendido GREAT WALL Original SMW250849.;producto-80;https://m.autoplanet.cl/medias/sys_master/images/h4e/h32/9001782607902.jpg;93490;;;;;;;;;;;;;;;;;;;;
81;;1;27;;Bobina de Encendido JAC Original 1026090GG020.;producto-81;https://m.autoplanet.cl/medias/sys_master/images/h23/h93/9001771466782.jpg;62490;;;;;;;;;;;;;;;;;;;;
82;;1;21;;Bobina de Encendido de 2 Pines TORCH BBN-005.;producto-82;https://m.autoplanet.cl/medias/sys_master/images/h4b/h24/8960701169694.jpg;7290;;;;;;;;;;;;;;;;;;;;
83;;1;26;;Bobina de Encendido de 4 Pines ATSUKI 115475/52259089 1300238.;producto-83;https://m.autoplanet.cl/medias/sys_master/images/hce/h90/8931997614110.jpg;11990;;;;;;;;;;;;;;;;;;;;
84;;1;23;;Bobina de Encendido de 2 Terminales TORCH BBN-090;producto-84;https://m.autoplanet.cl/medias/sys_master/images/h66/h2d/8935304036382.jpg;11990;;;;;;;;;;;;;;;;;;;;
85;;1;21;;Bobina AUTOTEC 20611-3;producto-85;https://m.autoplanet.cl/medias/sys_master/images/h96/h27/9060825038878.jpg;18990;;;;;;;;;;;;;;;;;;;;
86;;1;23;;Bobina de Encendido de 5 Pines ECHLIN H401985.;producto-86;https://m.autoplanet.cl/medias/sys_master/images/h3c/h74/8932039295006.jpg;35990;;;;;;;;;;;;;;;;;;;;
87;;1;23;;Bobina de Encendido Tipo Botella BO121;producto-87;https://m.autoplanet.cl/medias/sys_master/images/he2/hf1/8960688193566.jpg;15990;;;;;;;;;;;;;;;;;;;;
88;;1;23;;Bobina de Encendido de 3 Pines CADIC 91120102;producto-88;https://m.autoplanet.cl/medias/sys_master/images/hf3/h35/8985776881694.jpg;21990;;;;;;;;;;;;;;;;;;;;
89;;1;20;;Bobina ECHLIN 0024820;producto-89;https://m.autoplanet.cl/medias/sys_master/images/hac/h66/9069266567198.jpg;26490;;;;;;;;;;;;;;;;;;;;
90;;1;24;;Bobina BHORKE 0013654;producto-90;https://m.autoplanet.cl/medias/sys_master/images/h39/hac/9069265780766.jpg;24490;;;;;;;;;;;;;;;;;;;;
91;;1;29;;Bobina BHORKE 0108938;producto-91;https://m.autoplanet.cl/medias/sys_master/images/h39/h7d/9069307461662.jpg;8490;;;;;;;;;;;;;;;;;;;;
92;;1;24;;Bobina de Encendido de 4 Pines TORCH BBN-106.;producto-92;https://m.autoplanet.cl/medias/sys_master/images/h25/hcf/8960717750302.jpg;25990;;;;;;;;;;;;;;;;;;;;
93;;1;29;;Bobina de Encendido de 4 Pines TORCH BBN-007;producto-93;https://m.autoplanet.cl/medias/sys_master/images/ha0/h76/9029705105438.jpg;7990;;;;;;;;;;;;;;;;;;;;
94;;1;22;;Bobina de Encendido de 5 Pines TORCH BBN-107.;producto-94;https://m.autoplanet.cl/medias/sys_master/images/hd5/hf2/9006294237214.jpg;25490;;;;;;;;;;;;;;;;;;;;
95;;1;24;;Bobina de Encendido de 4 Pines ECHLIN 96165049 8008285;producto-95;https://m.autoplanet.cl/medias/sys_master/images/h1c/h58/8932063739934.jpg;13990;;;;;;;;;;;;;;;;;;;;
96;;1;21;;Bobina de Encendido de 4 Pines TYC PE40308;producto-96;https://www.autoplanet.cl/images/products/sin_image250.png;35990;;;;;;;;;;;;;;;;;;;;
97;;1;29;;Bobina de Encendido de 3 Pines CADIC 944176;producto-97;https://www.autoplanet.cl/images/products/sin_image250.png;19990;;;;;;;;;;;;;;;;;;;;
98;;1;20;;Bobina de Encendido de 2 Pines TORCH BBN-092;producto-98;https://m.autoplanet.cl/medias/sys_master/images/h81/h00/8960710606878.jpg;15490;;;;;;;;;;;;;;;;;;;;
99;;1;22;;Bobina de Encendido de 3 Pines TORCH BBN-041;producto-99;https://m.autoplanet.cl/medias/sys_master/images/hec/hc6/8960714997790.jpg;25490;;;;;;;;;;;;;;;;;;;;
100;;1;27;;Bobina de Encendido de 3 Pines TORCH BBN-099.;producto-100;https://m.autoplanet.cl/medias/sys_master/images/h8c/hf8/8960711786526.jpg;17990;;;;;;;;;;;;;;;;;;;;
101;;1;25;;Bobina de Encendido de 2 Conectores TORCH BBN-049.;producto-101;https://m.autoplanet.cl/medias/sys_master/images/hb6/he9/8964640112670.jpg;17990;;;;;;;;;;;;;;;;;;;;
102;;1;29;;Bobina ECHLIN 0024838;producto-102;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;15990;;;;;;;;;;;;;;;;;;;;
103;;1;28;;Bobina AUTOTEC 24429-5;producto-103;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;26990;;;;;;;;;;;;;;;;;;;;
104;;1;23;;Bobina de Encendido de 2 Pines 011340;producto-104;https://m.autoplanet.cl/medias/sys_master/images/h97/h8a/8935167066142.jpg;9090;;;;;;;;;;;;;;;;;;;;
105;;1;28;;Bobina de Encendido de 3 Pines ONNURI 11334;producto-105;https://m.autoplanet.cl/medias/sys_master/images/h60/hca/8931996434462.jpg;13990;;;;;;;;;;;;;;;;;;;;
106;;1;25;;Bobina 1 Pines 011342;producto-106;https://www.autoplanet.cl/images/products/sin_image250.png;34990;;;;;;;;;;;;;;;;;;;;
107;;1;23;;Bobina 011453;producto-107;https://www.autoplanet.cl/images/products/sin_image250.png;27990;;;;;;;;;;;;;;;;;;;;
108;;1;22;;Bobina de Encendido de 4 Pines CADIC 9112146;producto-108;https://m.autoplanet.cl/medias/sys_master/images/h24/hb0/8951902535710.jpg;16990;;;;;;;;;;;;;;;;;;;;
109;;1;23;;Bobina BBN-005;producto-109;https://www.autoplanet.cl/images/products/sin_image250.png;14990;;;;;;;;;;;;;;;;;;;;
110;;1;24;;Bobina de Encendido de 3 Pines REGITAR BO-H012K1;producto-110;https://m.autoplanet.cl/medias/sys_master/images/hac/hb1/8932070424606.jpg;8090;;;;;;;;;;;;;;;;;;;;
111;;1;21;;Bobina BBN-056;producto-111;https://www.autoplanet.cl/images/products/sin_image250.png;46990;;;;;;;;;;;;;;;;;;;;
112;;1;22;;Bobina BBN-207;producto-112;https://www.autoplanet.cl/images/products/sin_image250.png;4090;;;;;;;;;;;;;;;;;;;;
113;;1;22;;Bobina 4 Pines BBN-010;producto-113;https://www.autoplanet.cl/images/products/sin_image250.png;5090;;;;;;;;;;;;;;;;;;;;
114;;1;27;;Bobina MTX BBN-007;producto-114;https://www.autoplanet.cl/images/products/sin_image250.png;9990;;;;;;;;;;;;;;;;;;;;
115;;1;26;;Bobina MTX BBN-019;producto-115;https://www.autoplanet.cl/images/products/sin_image250.png;12590;;;;;;;;;;;;;;;;;;;;
116;;1;21;;Bobina MTX BBN-092;producto-116;https://www.autoplanet.cl/images/products/sin_image250.png;9090;;;;;;;;;;;;;;;;;;;;
117;;1;25;;Bobina de Encendido de 4 Pines REGITAR BBN-097;producto-117;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;6190;;;;;;;;;;;;;;;;;;;;
118;;1;29;;Bobina BBN-098;producto-118;https://www.autoplanet.cl/images/products/sin_image250.png;20990;;;;;;;;;;;;;;;;;;;;
119;;1;20;;Bobina;producto-119;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;10990;;;;;;;;;;;;;;;;;;;;
120;;1;20;;Bobina de Encendido de 4 Pines ECHLIN BBN-106;producto-120;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;15990;;;;;;;;;;;;;;;;;;;;
121;;1;22;;Bobina 4 Pines BBN-074;producto-121;https://www.autoplanet.cl/images/products/sin_image250.png;7990;;;;;;;;;;;;;;;;;;;;
122;;1;21;;Bobina BBN-099;producto-122;https://www.autoplanet.cl/images/products/sin_image250.png;9090;;;;;;;;;;;;;;;;;;;;
123;;1;21;;Bobina de Encendido de 2 Terminales 4611815;producto-123;https://m.autoplanet.cl/medias/sys_master/images/h98/hf2/8932050763806.jpg;4090;;;;;;;;;;;;;;;;;;;;
124;;1;21;;Bobina de Encendido de 2 Pines TORCH BBN-043.;producto-124;https://www.autoplanet.cl/images/products/sin_image250.png;3990;;;;;;;;;;;;;;;;;;;;
125;;1;20;;Bobina de Encendido de 2 Pines BBN-208;producto-125;https://www.autoplanet.cl/images/products/sin_image250.png;4090;;;;;;;;;;;;;;;;;;;;
126;;1;23;;Bobina 3 Pines BBN-015;producto-126;https://m.autoplanet.cl/medias/sys_master/images/hd0/h3a/8932071604254.jpg;4090;;;;;;;;;;;;;;;;;;;;
127;;1;23;;Bobina BBN-043;producto-127;https://www.autoplanet.cl/images/products/sin_image250.png;6990;;;;;;;;;;;;;;;;;;;;
128;;1;22;;Bobina de Encendido de 2 Pines 30500-PT0-005;producto-128;https://m.autoplanet.cl/medias/sys_master/images/h03/hd6/8932043685918.jpg;4090;;;;;;;;;;;;;;;;;;;;
129;;1;20;;Bobina de Encendido de 3 Pines TORCH BBN-016;producto-129;https://m.autoplanet.cl/medias/sys_master/images/hca/h4a/9036520620062.jpg;3690;;;;;;;;;;;;;;;;;;;;
130;;1;22;;Bobina de Encendido de 3 Pines CADIC 9112098;producto-130;https://www.autoplanet.cl/images/products/sin_image250.png;15490;;;;;;;;;;;;;;;;;;;;
131;;1;27;;Bobina CADIC 091120138;producto-131;https://m.autoplanet.cl/medias/sys_master/images/h9e/h35/9060830937118.jpg;32490;;;;;;;;;;;;;;;;;;;;
132;;1;25;;Bobina AUTOTEC 20938-4;producto-132;https://m.autoplanet.cl/medias/sys_master/images/h25/hcb/9060860559390.jpg;19490;;;;;;;;;;;;;;;;;;;;
133;;1;29;;Bobina de Encendido SUZUKI Original 33400A68K00000.;producto-133;https://m.autoplanet.cl/medias/sys_master/images/h2e/h24/9024456687646.jpg;38990;;;;;;;;;;;;;;;;;;;;
134;;1;23;;Bobina de Encendido de 2 Pines ONNURI 11342;producto-134;https://m.autoplanet.cl/medias/sys_master/images/hfd/h2d/8938528964638.jpg;39490;;;;;;;;;;;;;;;;;;;;
135;;1;27;;Bobina de Encendido de 4 Pines 0015011.;producto-135;https://www.autoplanet.cl/images/products/sin_image250.png;62990;;;;;;;;;;;;;;;;;;;;
136;;1;25;;Bobina de Encendido de 7 Pines FLAMMA 11346.;producto-136;https://m.autoplanet.cl/medias/sys_master/images/h59/h69/8985697648670.jpg;56990;;;;;;;;;;;;;;;;;;;;
137;;1;24;;Bobina de Encendido de 2 Conectores CYON 011438;producto-137;https://m.autoplanet.cl/medias/sys_master/images/hae/h91/8939413667870.jpg;14490;;;;;;;;;;;;;;;;;;;;
138;;1;24;;Bobina de Encendido de 5 Pines CYON 011446;producto-138;https://m.autoplanet.cl/medias/sys_master/images/haf/hcc/8932037328926.jpg;29990;;;;;;;;;;;;;;;;;;;;
139;;1;24;;Bobina de Encendido de 3 Pines CADIC 9112091;producto-139;https://www.autoplanet.cl/images/products/sin_image250.png;15490;;;;;;;;;;;;;;;;;;;;
140;;1;21;;Bobina de Encendido de 2 Pines CADIC 9112084.;producto-140;https://www.autoplanet.cl/images/products/sin_image250.png;14990;;;;;;;;;;;;;;;;;;;;
141;;1;29;;Bobina de Encendido de 4 Pines H300785;producto-141;https://m.autoplanet.cl/medias/sys_master/images/h71/h0f/8932040146974.jpg;16990;;;;;;;;;;;;;;;;;;;;
142;;1;27;;Bobina de Encendido de 2 Pines TORCH BBN-002;producto-142;https://m.autoplanet.cl/medias/sys_master/images/hcd/hae/8956111781918.jpg;8790;;;;;;;;;;;;;;;;;;;;
